Date,IDR,NEER
8/10/2006,11633.01,103.6705
8/11/2006,11592.04,104.2087
8/14/2006,11560.66,105.1345
8/15/2006,11574.02,104.799
8/16/2006,11632.04,105.2087
8/17/2006,11710.23,104.9198
8/18/2006,11605.65,105.269
8/21/2006,11711.72,105.3283
8/22/2006,11621.12,104.7806
8/23/2006,11658.28,104.3689
8/24/2006,11727.53,103.4536
8/25/2006,11654.9,103.8876
8/28/2006,11678.08,104.747
8/29/2006,11645.67,104.9675
8/30/2006,11690.02,104.773
8/31/2006,11690.55,105.2519
9/1/2006,11658.34,104.6303
9/4/2006,11672.83,104.4982
9/5/2006,11631.48,104.9321
9/6/2006,11625.64,104.9268
9/7/2006,11610.67,103.5246
9/8/2006,11602.52,102.8323
9/11/2006,11613.33,100.0745
9/12/2006,11631.28,99.8139
9/13/2006,11551.92,101.6099
9/14/2006,11619.28,100.9504
9/15/2006,11559.6,101.2198
9/18/2006,11587.84,100.2967
9/19/2006,11588.53,101.2542
9/20/2006,11620.72,100.4874
9/21/2006,11636.13,100.9905
9/22/2006,11778.82,100.5162
9/25/2006,11807.21,99.3509
9/26/2006,11684.48,99.5568
9/27/2006,11681.96,99.7613
9/28/2006,11727.74,99.5199
9/29/2006,11678.85,99.249
10/2/2006,11676.54,99.4947
10/3/2006,11724.41,99.6705
10/4/2006,11694.65,99.971
10/5/2006,11716.04,100.1584
10/6/2006,11660.38,99.6189
10/9/2006,11630.05,99.2027
10/10/2006,11565.68,98.7297
10/11/2006,11567.78,98.6851
10/12/2006,11552.96,97.8135
10/13/2006,11552.9,98.1152
10/16/2006,11470.62,97.6908
10/17/2006,11465.72,96.8276
10/18/2006,11486.25,99.7733
10/19/2006,11505.88,98.5484
10/20/2006,11554.93,98.8845
10/23/2006,11507.57,99.4215
10/24/2006,11493.83,99.5263
10/25/2006,11485.54,99.5519
10/26/2006,11526.88,100.8879
10/27/2006,11547.87,100.5849
10/30/2006,11572.47,99.6626
10/31/2006,11569.23,99.6937
11/1/2006,11612.06,98.6033
11/2/2006,11633.29,97.3245
11/3/2006,11631.38,95.3276
11/6/2006,11601.37,98.184
11/7/2006,11640.85,96.8132
11/8/2006,11635.74,97.6899
11/9/2006,11671.87,97.7437
11/10/2006,11727.47,97.6303
11/13/2006,11710.58,97.8552
11/14/2006,11706.39,97.4304
11/15/2006,11746.25,96.6061
11/16/2006,11722.7,96.7524
11/17/2006,11704.82,98.4804
11/20/2006,11754.01,98.9341
11/21/2006,11712,98.6649
11/22/2006,11770.07,98.6021
11/23/2006,11826.74,99.5055
11/24/2006,11954.6,99.4236
11/27/2006,11988.16,99.2697
11/28/2006,12076.18,99.1937
11/29/2006,12060.36,99.134
11/30/2006,12097.8,98.9425
12/1/2006,12144.75,99.1585
12/4/2006,12177.74,98.5443
12/5/2006,12151.87,97.2135
12/6/2006,12105.89,97.3211
12/7/2006,12063.7,96.6543
12/8/2006,12040.67,96.4424
12/11/2006,11974.6,96.5856
12/12/2006,12008.33,96.7639
12/13/2006,12031.36,97.6125
12/14/2006,11963.17,97.42
12/15/2006,11908.11,97.1985
12/18/2006,11899.43,97.2764
12/19/2006,12026.41,97.7051
12/20/2006,12001.53,97.1297
12/21/2006,11952.45,97.3842
12/22/2006,11975.04,97.5243
12/27/2006,11885.87,97.6367
12/28/2006,11905.1,97.3318
12/29/2006,11844.44,95.3727
1/2/2007,11926.41,95.0367
1/3/2007,11868.21,95.4269
1/4/2007,11808.51,94.9462
1/5/2007,11791.96,95.1701
1/8/2007,11757.42,95.5026
1/9/2007,11761.76,94.9746
1/10/2007,11793.1,95.2955
1/11/2007,11842.06,94.8603
1/12/2007,11771.31,92.6354
1/15/2007,11795.72,89.9394
1/16/2007,11751.61,91.8205
1/17/2007,11757.52,93.091
1/18/2007,11762.9,96.097
1/19/2007,11762.62,92.9435
1/22/2007,11758.82,91.7545
1/23/2007,11846.84,91.878
1/24/2007,11807,92.0282
