Date,ILS
2/15/2013,4.912
2/18/2013,4.9109
2/19/2013,4.9182
2/20/2013,4.8978
2/21/2013,4.845
2/22/2013,4.8907
2/25/2013,4.9411
2/26/2013,4.8798
2/27/2013,4.8811
2/28/2013,4.867
3/1/2013,4.8488
3/4/2013,4.8523
3/5/2013,4.8686
3/6/2013,4.8582
3/7/2013,4.8481
3/8/2013,4.8163
3/11/2013,4.7931
3/12/2013,4.8001
3/13/2013,4.7921
3/14/2013,4.7877
3/15/2013,4.8151
3/18/2013,4.7748
3/19/2013,4.7673
3/20/2013,4.7616
3/21/2013,4.7301
3/22/2013,4.7295
3/25/2013,4.6971
3/26/2013,4.6757
3/27/2013,4.6532
3/28/2013,4.6679
4/2/2013,4.6388
4/3/2013,4.6436
4/4/2013,4.6537
4/5/2013,4.6957
4/8/2013,4.7132
4/9/2013,4.7339
4/10/2013,4.7557
4/11/2013,4.7619
4/12/2013,4.7368
4/15/2013,4.745
4/16/2013,4.7623
4/17/2013,4.7606
4/18/2013,4.7306
4/19/2013,4.7585
4/22/2013,4.7318
4/23/2013,4.7085
4/24/2013,4.7068
4/25/2013,4.7165
4/26/2013,4.6866
4/29/2013,4.7076
4/30/2013,4.6973
5/2/2013,4.705
5/3/2013,4.6652
5/6/2013,4.6781
5/7/2013,4.6705
5/8/2013,4.6741
5/9/2013,4.6675
5/10/2013,4.631
5/13/2013,4.6518
5/14/2013,4.725
5/15/2013,4.7202
5/16/2013,4.699
5/17/2013,4.7135
5/20/2013,4.7059
5/21/2013,4.72
5/22/2013,4.7759
5/23/2013,4.7693
5/24/2013,4.7818
5/27/2013,4.7709
5/28/2013,4.7965
5/29/2013,4.7879
5/30/2013,4.78
5/31/2013,4.802
6/3/2013,4.7964
6/4/2013,4.8056
6/5/2013,4.796
6/6/2013,4.7786
6/7/2013,4.7926
6/10/2013,4.7982
6/11/2013,4.845
6/12/2013,4.818
6/13/2013,4.8132
6/14/2013,4.7914
6/17/2013,4.8001
6/18/2013,4.8045
6/19/2013,4.8171
6/20/2013,4.7987
6/21/2013,4.7891
6/24/2013,4.7608
6/25/2013,4.728
6/26/2013,4.7196
6/27/2013,4.738
6/28/2013,4.7386
7/1/2013,4.739
7/2/2013,4.7302
7/3/2013,4.7285
7/4/2013,4.727
7/5/2013,4.6941
7/8/2013,4.7033
7/9/2013,4.6959
7/10/2013,4.6698
7/11/2013,4.7173
7/12/2013,4.6921
7/15/2013,4.6835
7/16/2013,4.6784
7/17/2013,4.6913
7/18/2013,4.7169
7/19/2013,4.688
7/22/2013,4.7023
7/23/2013,4.711
7/24/2013,4.7407
7/25/2013,4.7441
7/26/2013,4.755
7/29/2013,4.765
7/30/2013,4.746
7/31/2013,4.7335
8/1/2013,4.7074
8/2/2013,4.718
8/5/2013,4.7157
8/6/2013,4.7127
8/7/2013,4.7299
8/8/2013,4.7291
8/9/2013,4.7168
8/12/2013,4.7135
8/13/2013,4.7171
8/14/2013,4.74
8/15/2013,4.736
8/16/2013,4.7435
8/19/2013,4.7677
8/20/2013,4.7733
8/21/2013,4.771
8/22/2013,4.7811
8/23/2013,4.8086
8/26/2013,4.82
8/27/2013,4.8716
8/28/2013,4.8893
8/29/2013,4.8075
8/30/2013,4.7712
9/2/2013,4.7762
9/3/2013,4.7862
9/4/2013,4.79
9/5/2013,4.8176
9/6/2013,4.7862
9/9/2013,4.7807
9/10/2013,4.765
9/11/2013,4.7391
9/12/2013,4.7208
9/13/2013,4.716
9/16/2013,4.7205
9/17/2013,4.7226
9/18/2013,4.7186
9/19/2013,4.7287
9/20/2013,4.7349
9/23/2013,4.7654
9/24/2013,4.7605
9/25/2013,4.8046
9/26/2013,4.8077
9/27/2013,4.8204
9/30/2013,4.7734
10/1/2013,4.7874
10/2/2013,4.7774
10/3/2013,4.8108
10/4/2013,4.8215
10/7/2013,4.8128
10/8/2013,4.8351
10/9/2013,4.8208
10/10/2013,4.8135
10/11/2013,4.8136
10/14/2013,4.8
10/15/2013,4.786
10/16/2013,4.8117
10/17/2013,4.8196
10/18/2013,4.8308
10/21/2013,4.8354
10/22/2013,4.8211
10/23/2013,4.8406
10/24/2013,4.872
10/25/2013,4.8658
10/28/2013,4.8651
10/29/2013,4.849
10/30/2013,4.8387
10/31/2013,4.804
11/1/2013,4.7703
11/4/2013,4.7695
11/5/2013,4.7633
11/6/2013,4.7695
11/7/2013,4.7341
11/8/2013,4.7428
11/11/2013,4.7341
11/12/2013,4.7385
11/13/2013,4.739
11/14/2013,4.7431
11/15/2013,4.741
11/18/2013,4.7585
11/19/2013,4.7514
11/20/2013,4.7954
11/21/2013,4.8045
11/22/2013,4.8106
11/25/2013,4.8161
11/26/2013,4.7992
11/27/2013,4.8107
11/28/2013,4.8074
11/29/2013,4.7933
12/2/2013,4.7796
12/3/2013,4.7818
12/4/2013,4.7883
12/5/2013,4.7925
12/6/2013,4.7922
12/9/2013,4.804
12/10/2013,4.8061
12/11/2013,4.8209
12/12/2013,4.8266
12/13/2013,4.8066
12/16/2013,4.8281
12/17/2013,4.8274
12/18/2013,4.823
12/19/2013,4.8063
12/20/2013,4.8028
12/23/2013,4.7972
12/24/2013,4.7646
12/27/2013,4.808
12/30/2013,4.7943
12/31/2013,4.788
1/2/2014,4.7697
1/3/2014,4.7749
1/6/2014,4.7646
1/7/2014,4.7725
1/8/2014,4.7635
1/9/2014,4.7694
1/10/2014,4.7506
1/13/2014,4.7644
1/14/2014,4.7665
1/15/2014,4.7407
1/16/2014,4.7478
1/17/2014,4.743
1/20/2014,4.7359
1/21/2014,4.7291
1/22/2014,4.7335
1/23/2014,4.7535
1/24/2014,4.778
1/27/2014,4.7709
1/28/2014,4.7757
1/29/2014,4.7506
1/30/2014,4.7416
1/31/2014,4.7554
2/3/2014,4.7528
2/4/2014,4.7745
2/5/2014,4.7922
2/6/2014,4.7862
2/7/2014,4.798
2/10/2014,4.8036
2/11/2014,4.8096
2/12/2014,4.7807
2/13/2014,4.7984
2/14/2014,4.8119
2/17/2014,4.8101
2/18/2014,4.8223
2/19/2014,4.821
2/20/2014,4.818
2/21/2014,4.8062
2/24/2014,4.8128
2/25/2014,4.8394
2/26/2014,4.8272
2/27/2014,4.8011
2/28/2014,4.8203
3/3/2014,4.808
3/4/2014,4.8055
3/5/2014,4.7906
3/6/2014,4.785
3/7/2014,4.8004
3/10/2014,4.8277
3/11/2014,4.8125
3/12/2014,4.818
3/13/2014,4.8254
3/14/2014,4.8124
3/17/2014,4.8108
3/18/2014,4.811
3/19/2014,4.8167
3/20/2014,4.7952
3/21/2014,4.7914
3/24/2014,4.8114
3/25/2014,4.808
3/26/2014,4.811
3/27/2014,4.8169
3/28/2014,4.816
3/31/2014,4.8095
4/1/2014,4.7931
4/2/2014,4.7894
4/3/2014,4.7785
4/4/2014,4.7744
4/7/2014,4.7905
4/8/2014,4.795
4/9/2014,4.8002
4/10/2014,4.8089
4/11/2014,4.8117
4/14/2014,4.8008
4/15/2014,4.7887
4/16/2014,4.8043
4/17/2014,4.8154
4/22/2014,4.811
4/23/2014,4.8255
4/24/2014,4.8053
4/25/2014,4.8023
4/28/2014,4.8196
4/29/2014,4.8028
4/30/2014,4.8016
5/2/2014,4.7911
5/5/2014,4.7984
5/6/2014,4.8068
5/7/2014,4.8047
5/8/2014,4.81
5/9/2014,4.7598
5/12/2014,4.7594
5/13/2014,4.7375
5/14/2014,4.7414
5/15/2014,4.7201
5/16/2014,4.7398
5/19/2014,4.7382
5/20/2014,4.7522
5/21/2014,4.7761
5/22/2014,4.7655
5/23/2014,4.7516
5/26/2014,4.7584
5/27/2014,4.7429
5/28/2014,4.7478
5/29/2014,4.7327
5/30/2014,4.7256
6/2/2014,4.7325
6/3/2014,4.7439
6/4/2014,4.7464
6/5/2014,4.7181
6/6/2014,4.7237
6/9/2014,4.7091
6/10/2014,4.6902
6/11/2014,4.6894
6/12/2014,4.6818
6/13/2014,4.6759
6/16/2014,4.6804
6/17/2014,4.6867
6/18/2014,4.6877
6/19/2014,4.6889
6/20/2014,4.6833
6/23/2014,4.6942
6/24/2014,4.6792
6/25/2014,4.6832
6/26/2014,4.6666
6/27/2014,4.6708
6/30/2014,4.696
7/1/2014,4.692
7/2/2014,4.6774
7/3/2014,4.6704
7/4/2014,4.6445
7/7/2014,4.6509
7/8/2014,4.6599
7/9/2014,4.6676
7/10/2014,4.6643
7/11/2014,4.6637
7/14/2014,4.6662
7/15/2014,4.6354
7/16/2014,4.6129
7/17/2014,4.613
7/18/2014,4.6308
7/21/2014,4.6272
7/22/2014,4.6043
7/23/2014,4.5921
7/24/2014,4.5846
7/25/2014,4.6004
7/28/2014,4.6056
7/29/2014,4.6026
7/30/2014,4.5924
7/31/2014,4.5898
8/1/2014,4.5907
8/4/2014,4.5889
8/5/2014,4.5687
8/6/2014,4.5716
8/7/2014,4.6172
8/8/2014,4.6438
8/11/2014,4.6453
8/12/2014,4.6533
8/13/2014,4.6684
8/14/2014,4.6411
8/15/2014,4.6684
8/18/2014,4.6899
8/19/2014,4.7027
8/20/2014,4.6917
8/21/2014,4.6894
8/22/2014,4.6738
8/25/2014,4.6722
8/26/2014,4.7141
8/27/2014,4.7071
8/28/2014,4.6909
8/29/2014,4.7057
9/1/2014,4.6992
9/2/2014,4.6942
9/3/2014,4.7154
9/4/2014,4.666
9/5/2014,4.6705
9/8/2014,4.6627
9/9/2014,4.6639
9/10/2014,4.6813
9/11/2014,4.692
9/12/2014,4.6975
9/15/2014,4.6843
9/16/2014,4.7199
9/17/2014,4.7268
9/18/2014,4.6998
9/19/2014,4.6841
9/22/2014,4.6995
9/23/2014,4.7167
9/24/2014,4.7057
9/25/2014,4.6772
9/26/2014,4.6828
9/29/2014,4.6837
9/30/2014,4.6474
10/1/2014,4.6196
10/2/2014,4.6082
