Date,HUF,NEER
10/4/2000,263.18,91.7432
10/5/2000,262.87,91.5264
10/6/2000,262.55,91.8038
10/9/2000,262.55,91.4875
10/10/2000,262.49,91.0684
10/11/2000,262.84,91.2288
10/12/2000,262.84,91.1093
10/13/2000,262.95,91.0836
10/16/2000,263.25,91.3206
10/17/2000,262.73,91.5516
10/18/2000,263.02,91.5313
10/19/2000,262.62,91.6048
10/20/2000,262.63,91.3181
10/23/2000,262.64,91.4319
10/24/2000,262.61,91.0706
10/25/2000,262.65,91.1694
10/26/2000,262.85,91.3329
10/27/2000,263.15,91.2236
10/30/2000,263.36,90.9254
10/31/2000,263.24,90.6356
11/1/2000,262.9,90.6405
11/2/2000,263.28,90.9905
11/3/2000,263.99,90.5687
11/6/2000,263.99,90.843
11/7/2000,263.88,90.3984
11/8/2000,263.93,90.4782
11/9/2000,264.01,90.5369
11/10/2000,264.05,90.6778
11/13/2000,264.14,90.9907
11/14/2000,263.95,90.9785
11/15/2000,263.51,91.2178
11/16/2000,263.61,91.1396
11/17/2000,264.07,91.0415
11/20/2000,264.06,91.1691
11/21/2000,264.39,91.2082
11/22/2000,264.2,91.3201
11/23/2000,264.42,91.1362
11/24/2000,264.46,90.965
11/27/2000,264.52,90.8499
11/28/2000,264.8,90.6104
11/29/2000,264.97,90.3625
11/30/2000,264.87,90.4992
12/1/2000,265,90.6158
12/4/2000,265.17,90.5637
12/5/2000,265.18,90.3091
12/6/2000,265.05,90.3126
12/7/2000,265.22,90.3055
12/8/2000,265.25,90.3587
12/11/2000,265.31,89.9778
12/12/2000,265.23,89.9713
12/13/2000,264.9,90.076
12/14/2000,264.72,89.9528
12/15/2000,264.58,90.1667
12/18/2000,264.57,90.7247
12/19/2000,264.49,90.577
12/20/2000,264.36,90.3472
12/21/2000,264.45,90.5092
12/22/2000,264.81,90.2609
12/27/2000,265.59,89.9139
12/28/2000,265.1,89.8385
12/29/2000,265,89.7116
1/2/2001,264.58,89.6609
1/3/2001,264.55,89.7146
1/4/2001,264.77,90.2328
1/5/2001,264.87,90.2602
1/8/2001,264.96,90.149
1/9/2001,265.01,90.1365
1/10/2001,265.07,90.2764
1/11/2001,265.04,90.3256
1/12/2001,265.11,89.8743
1/15/2001,265.12,89.9515
1/16/2001,264.97,89.8782
1/17/2001,265.1,91.6883
1/18/2001,265.05,92.3042
1/19/2001,265.08,92.8274
1/22/2001,264.97,92.7939
1/23/2001,264.99,92.8066
1/24/2001,265.05,92.9362
1/25/2001,265.07,92.9241
1/26/2001,265.12,92.7089
1/29/2001,265.09,92.8132
1/30/2001,265.15,93.0508
1/31/2001,265.18,92.7532
2/1/2001,265.3,92.4338
2/2/2001,265.27,92.2564
2/5/2001,265.32,92.325
2/6/2001,265.34,92.5279
2/7/2001,265.27,93.0074
2/8/2001,265.45,93.0438
2/9/2001,265.48,93.3924
2/12/2001,265.51,93.5109
2/13/2001,265.62,93.1793
2/14/2001,265.54,93.2295
2/15/2001,265.67,93.4014
2/16/2001,265.67,93.9785
2/19/2001,265.67,94.7993
2/20/2001,265.73,95.111
2/21/2001,265.75,94.5575
2/22/2001,266.29,94.8321
2/23/2001,266.12,95.2923
2/26/2001,266.2,96.0292
2/27/2001,266.32,95.9685
2/28/2001,266.22,96.7867
3/1/2001,266.44,96.8001
3/2/2001,266.46,96.5447
3/5/2001,266.33,96.2396
3/6/2001,266.23,96.9473
3/7/2001,266.3,97.3466
3/8/2001,266.21,97.8081
3/9/2001,266.23,97.8337
3/12/2001,266.25,97.7881
3/13/2001,266.37,97.9971
3/14/2001,266.49,97.3184
3/15/2001,266.54,97.541
3/16/2001,266.51,97.7647
3/19/2001,266.51,98.3351
3/20/2001,266.43,97.6691
3/21/2001,266.49,94.542
3/22/2001,266.58,93.5268
3/23/2001,266.58,94.4946
3/26/2001,266.6,93.1615
3/27/2001,266.57,92.6894
3/28/2001,266.75,93.4069
3/29/2001,266.73,93.7649
3/30/2001,266.72,94.228
4/2/2001,266.78,96.0279
4/3/2001,266.73,96.0388
4/4/2001,266.74,96.1692
4/5/2001,266.8,96.8792
4/6/2001,266.83,96.7908
4/9/2001,266.83,97.2889
4/10/2001,266.86,97.281
4/11/2001,266.96,96.9146
4/12/2001,266.98,96.9948
4/17/2001,266.98,96.76
4/18/2001,266.99,96.7962
4/19/2001,267.04,96.4317
4/20/2001,267.06,96.7279
4/23/2001,267.11,97.121
4/24/2001,267.17,96.9119
4/25/2001,267.11,96.9914
4/26/2001,267.22,97.4846
4/27/2001,267.32,97.5425
4/30/2001,267.32,97.9408
5/2/2001,267.24,97.8609
5/3/2001,267.3,95.705
5/4/2001,262.24,95.2834
5/7/2001,260.28,94.8004
5/8/2001,258.48,94.7859
5/9/2001,258.33,94.5345
5/10/2001,258.57,94.7217
5/11/2001,257.41,96.2869
5/14/2001,257.38,96.2596
5/15/2001,258.25,95.6671
5/16/2001,258.46,95.095
5/17/2001,257.45,95.6925
5/18/2001,257.95,95.8473
5/21/2001,258.52,95.4929
5/22/2001,258.43,95.9988
5/23/2001,257.21,95.5494
5/24/2001,256.76,95.4883
5/25/2001,255.35,95.2484
5/28/2001,255.35,95.1575
5/29/2001,254,95.4424
5/30/2001,253.65,95.7337
5/31/2001,253.75,94.3116
6/1/2001,253.55,94.3363
6/4/2001,253.54,95.0074
6/5/2001,251.61,94.3021
6/6/2001,250.35,94.4116
6/7/2001,249.07,94.1446
6/8/2001,250.58,94.0458
6/11/2001,250.15,93.0143
6/12/2001,248.8,92.8423
6/13/2001,247.58,93.2848
6/14/2001,247.1,93.9838
6/15/2001,246.15,94.2418
6/18/2001,245.74,94.0984
