Date,KRW,NEER
7/7/2000,1061.64,111.1582
7/10/2000,1064.57,112.0539
7/11/2000,1063.52,111.2179
7/12/2000,1060.12,111.3327
7/13/2000,1038.53,111.4781
7/14/2000,1040.86,111.787
7/17/2000,1043.13,111.7666
7/18/2000,1041.94,111.0659
7/19/2000,1024.17,111.3389
7/20/2000,1023.24,110.9446
7/21/2000,1040.91,110.7555
7/24/2000,1039.13,110.2548
7/25/2000,1049.69,110.5864
7/26/2000,1047.88,110.5283
7/27/2000,1046.46,111.0737
7/28/2000,1036.07,111.1179
7/31/2000,1033.61,110.616
8/1/2000,1033.69,110.519
8/2/2000,1020.03,110.738
8/3/2000,1007.88,111.0175
8/4/2000,1007.8,110.8557
8/7/2000,1015.08,110.6602
8/8/2000,1009.34,109.7401
8/9/2000,1000.37,108.9315
8/10/2000,1007.19,108.0108
8/11/2000,1018.62,106.5434
8/14/2000,1006.25,107.2148
8/15/2000,1018.55,107.3698
8/16/2000,1012.5,106.8277
8/17/2000,1017.04,105.0304
8/18/2000,1017.99,104.1262
8/21/2000,1006.13,104.6405
8/22/2000,999.67,103.1242
8/23/2000,994.08,104.6756
8/24/2000,1003.74,104.9084
8/25/2000,1005.1,104.637
8/28/2000,1001.5,105.5586
8/29/2000,995.64,106.3401
8/30/2000,989.11,105.9079
8/31/2000,988.34,106.1509
9/1/2000,984.42,104.9132
9/4/2000,994.19,103.9927
9/5/2000,982.01,104.2296
9/6/2000,976.91,104.1662
9/7/2000,963.19,103.093
9/8/2000,968.31,101.8143
9/11/2000,953.08,100.8284
9/12/2000,955.35,99.2765
9/13/2000,959.55,99.9642
9/14/2000,971.63,98.9709
9/15/2000,965.65,97.8337
9/18/2000,964.96,97.8072
9/19/2000,962.59,98.9739
9/20/2000,953.98,98.8811
9/21/2000,959.25,98.6662
9/22/2000,1008.12,97.4482
9/25/2000,987.08,98.8161
9/26/2000,978.97,97.9008
9/27/2000,986.78,97.6631
9/28/2000,984.98,97.8686
9/29/2000,976.87,98.05
10/2/2000,984.06,98.3451
10/3/2000,980.58,98.0015
10/4/2000,977.32,98.3743
10/5/2000,983.15,98.7901
10/6/2000,971.25,98.5092
10/9/2000,971.67,99.1075
10/10/2000,977.1,99.2522
10/11/2000,977.95,98.465
10/12/2000,970.74,99.6964
10/13/2000,973.64,99.6706
10/16/2000,960.04,99.8
10/17/2000,962.6,99.5811
10/18/2000,969.29,100.1445
10/19/2000,957.17,99.0463
10/20/2000,954.44,99.5877
10/23/2000,954.14,99.3762
10/24/2000,953.07,99.5929
10/25/2000,945.34,100.1129
10/26/2000,938.67,99.7651
10/27/2000,946.02,100.4867
10/30/2000,965.25,100.8166
10/31/2000,958.7,101.3969
11/1/2000,972.42,101.554
11/2/2000,981.58,101.0544
11/3/2000,991.12,102.5362
11/6/2000,982.4,102.1829
