Date,USD,NEER
3/7/2000,0.9593,102.4569
3/8/2000,0.9543,102.2047
3/9/2000,0.9616,102.9519
3/10/2000,0.9613,102.6645
3/13/2000,0.9716,102.5852
3/14/2000,0.962,102.0454
3/15/2000,0.9647,102.0562
3/16/2000,0.9663,102.3503
3/17/2000,0.9672,102.45
3/20/2000,0.9715,102.5117
3/21/2000,0.9701,102.6541
3/22/2000,0.9603,102.7724
3/23/2000,0.9656,102.462
3/24/2000,0.9715,102.3899
3/27/2000,0.9712,102.6303
3/28/2000,0.9647,103.09
3/29/2000,0.9568,103.3076
3/30/2000,0.9555,103.4919
3/31/2000,0.9553,103.2539
4/3/2000,0.9564,103.6052
4/4/2000,0.9538,103.6602
4/5/2000,0.9673,103.0778
4/6/2000,0.9625,103.1941
4/7/2000,0.9564,102.9969
4/10/2000,0.959,103.0211
4/11/2000,0.9594,102.9947
4/12/2000,0.9576,103.5388
4/13/2000,0.9537,103.9207
4/14/2000,0.954,103.9798
4/17/2000,0.9573,104.1873
4/18/2000,0.9497,104.4041
4/19/2000,0.9461,104.427
4/20/2000,0.9376,104.4361
4/25/2000,0.9302,104.3409
4/26/2000,0.9193,104.5066
4/27/2000,0.9163,104.3357
4/28/2000,0.9085,104.0529
5/2/2000,0.9116,104.5655
5/3/2000,0.8913,104.3291
5/4/2000,0.8947,104.2186
5/5/2000,0.8984,103.8909
5/8/2000,0.8952,104.0178
5/9/2000,0.8978,104.1865
5/10/2000,0.9107,104.5102
5/11/2000,0.9079,104.6363
5/12/2000,0.9029,104.3078
5/15/2000,0.9147,104.2334
5/16/2000,0.9065,104.2174
5/17/2000,0.8922,104.3705
5/18/2000,0.8942,104.6347
5/19/2000,0.8875,104.4654
5/22/2000,0.9,104.4037
5/23/2000,0.9111,103.9031
5/24/2000,0.9098,104.4293
5/25/2000,0.8981,104.705
5/26/2000,0.9143,105.2423
5/29/2000,0.9262,105.0215
5/30/2000,0.9359,105.5982
5/31/2000,0.9303,105.7626
6/1/2000,0.933,105.7891
6/2/2000,0.9355,105.8422
6/5/2000,0.9433,106.1968
6/6/2000,0.9485,106.4275
6/7/2000,0.9554,106.3742
6/8/2000,0.9668,106.3373
6/9/2000,0.949,106.2386
6/12/2000,0.9527,105.1466
6/13/2000,0.9583,105.5223
6/14/2000,0.9636,105.4525
6/15/2000,0.9524,105.1755
6/16/2000,0.9565,105.3913
6/19/2000,0.964,105.8666
6/20/2000,0.9538,105.7525
6/21/2000,0.947,106.0277
6/22/2000,0.9405,106.1723
6/23/2000,0.9413,105.8991
6/26/2000,0.9327,106.1195
6/27/2000,0.9401,106.3274
6/28/2000,0.9415,106.0314
6/29/2000,0.9504,106.0117
6/30/2000,0.9556,106.2384
7/3/2000,0.9493,106.5452
7/4/2000,0.9487,107.004
7/5/2000,0.9537,107.2832
7/6/2000,0.9542,107.137
7/7/2000,0.9483,107.4375
7/10/2000,0.9523,107.3499
7/11/2000,0.9527,107.6057
7/12/2000,0.9499,107.4542
7/13/2000,0.9349,107.988
7/14/2000,0.9344,108.1689
7/17/2000,0.9352,108.0788
7/18/2000,0.9353,107.5647
7/19/2000,0.9216,107.9541
7/20/2000,0.922,107.1946
7/21/2000,0.9363,106.9637
7/24/2000,0.9332,106.4104
7/25/2000,0.941,106.6598
7/26/2000,0.939,107.0097
7/27/2000,0.9389,107.3348
7/28/2000,0.9276,107.4867
7/31/2000,0.9243,107.1358
8/1/2000,0.9264,107.3083
8/2/2000,0.9142,107.3782
8/3/2000,0.9028,107.6032
8/4/2000,0.9031,107.8655
8/7/2000,0.9084,108.1006
8/8/2000,0.9047,108.3866
8/9/2000,0.8973,108.6978
8/10/2000,0.9031,108.6987
8/11/2000,0.9132,108.8738
8/14/2000,0.9011,108.9771
8/15/2000,0.9118,108.9467
8/16/2000,0.9072,108.0148
8/17/2000,0.914,107.7402
8/18/2000,0.9127,108.0516
8/21/2000,0.9023,107.7125
8/22/2000,0.8972,107.1851
8/23/2000,0.8918,107.3013
8/24/2000,0.9012,107.3031
8/25/2000,0.9021,106.5398
8/28/2000,0.9007,106.7342
8/29/2000,0.8965,106.7897
8/30/2000,0.8909,107.1869
8/31/2000,0.8906,107.5548
9/1/2000,0.8902,107.0535
9/4/2000,0.9,106.4399
9/5/2000,0.8886,106.6299
9/6/2000,0.8818,106.9482
9/7/2000,0.8676,106.4868
9/8/2000,0.8735,106.0349
9/11/2000,0.8609,105.8162
9/12/2000,0.8614,105.7708
9/13/2000,0.8654,105.9505
9/14/2000,0.8693,105.8149
9/15/2000,0.8615,105.4142
9/18/2000,0.8526,104.863
9/19/2000,0.8541,105.0914
9/20/2000,0.8476,105.219
9/21/2000,0.8524,105.2783
9/22/2000,0.889,105.6273
9/25/2000,0.877,105.5809
9/26/2000,0.8757,105.426
9/27/2000,0.8861,105.3739
9/28/2000,0.8832,106.1833
9/29/2000,0.8765,106.1708
10/2/2000,0.8802,106.1782
10/3/2000,0.8763,106.3149
10/4/2000,0.873,106.1821
10/5/2000,0.8786,106.484
10/6/2000,0.8703,106.0318
10/9/2000,0.8695,106.7062
10/10/2000,0.8721,107.1959
10/11/2000,0.872,106.6462
10/12/2000,0.8648,106.6776
10/13/2000,0.8627,106.6391
10/16/2000,0.8511,106.1846
10/17/2000,0.8496,105.5528
10/18/2000,0.8525,105.4107
10/19/2000,0.8411,105.5155
10/20/2000,0.8452,106.0385
10/23/2000,0.8377,106.2904
10/24/2000,0.8386,106.6298
10/25/2000,0.8307,106.8478
10/26/2000,0.8252,106.7348
10/27/2000,0.8324,106.8261
10/30/2000,0.8482,106.981
10/31/2000,0.8417,107.411
11/1/2000,0.8554,107.2237
11/2/2000,0.8646,107.1017
11/3/2000,0.873,107.4953
11/6/2000,0.8667,107.4747
11/7/2000,0.8587,107.7108
11/8/2000,0.8559,107.7549
11/9/2000,0.8531,107.5049
11/10/2000,0.8673,107.1857
11/13/2000,0.862,107.0922
11/14/2000,0.8583,107.1976
11/15/2000,0.8596,107.1898
11/16/2000,0.8569,107.4336
11/17/2000,0.8535,107.3421
11/20/2000,0.8488,107.5603
11/21/2000,0.8474,107.6159
11/22/2000,0.8429,107.3041
11/23/2000,0.8427,107.842
11/24/2000,0.8436,108.1576
11/27/2000,0.8406,108.1353
11/28/2000,0.8561,109.1712
11/29/2000,0.865,109.9054
11/30/2000,0.8684,109.652
12/1/2000,0.8735,109.6333
12/4/2000,0.8908,110.069
12/5/2000,0.881,110.6234
12/6/2000,0.8828,110.1466
12/7/2000,0.8943,110.0302
12/8/2000,0.8895,109.9089
12/11/2000,0.8804,110.2435
12/12/2000,0.8782,110.5828
12/13/2000,0.8748,111.0851
12/14/2000,0.8839,111.5721
12/15/2000,0.8984,111.2956
12/18/2000,0.8966,110.5072
12/19/2000,0.8903,110.2648
12/20/2000,0.9059,110.6129
12/21/2000,0.9146,110.1123
12/22/2000,0.924,110.2049
12/27/2000,0.931,110.5051
12/28/2000,0.9285,110.2551
12/29/2000,0.9305,110.6646
1/2/2001,0.9423,110.7164
1/3/2001,0.953,110.0458
1/4/2001,0.9458,109.4243
1/5/2001,0.9545,109.3069
1/8/2001,0.9497,109.419
1/9/2001,0.9401,109.5632
1/10/2001,0.9412,109.3505
1/11/2001,0.9523,109.5807
1/12/2001,0.9545,110.0496
1/15/2001,0.9428,109.4697
1/16/2001,0.9412,109.3842
1/17/2001,0.9396,109.0902
1/18/2001,0.9404,109.261
1/19/2001,0.94,109.7423
1/22/2001,0.929,109.8656
1/23/2001,0.9407,109.8234
1/24/2001,0.9294,110.1082
1/25/2001,0.9146,110.531
1/26/2001,0.9228,110.5561
1/29/2001,0.9193,110.1928
1/30/2001,0.9197,109.9367
1/31/2001,0.9293,110.1368
2/1/2001,0.9406,110.092
2/2/2001,0.9407,110.4502
2/5/2001,0.9425,110.6469
2/6/2001,0.9322,110.4937
2/7/2001,0.9325,110.4666
2/8/2001,0.922,110.67
2/9/2001,0.9227,110.5823
2/12/2001,0.9288,110.5604
2/13/2001,0.9275,110.8373
2/14/2001,0.9178,110.5445
2/15/2001,0.909,110.5468
2/16/2001,0.9113,110.8454
2/19/2001,0.9213,110.5429
2/20/2001,0.907,110.7696
2/21/2001,0.9146,110.7828
2/22/2001,0.9056,110.7924
2/23/2001,0.9064,111.0447
2/26/2001,0.9105,110.8319
2/27/2001,0.9163,110.9138
2/28/2001,0.9248,110.109
3/1/2001,0.9269,110.84
3/2/2001,0.9363,110.9893
3/5/2001,0.9305,111.262
3/6/2001,0.9279,111.061
3/7/2001,0.9307,111.0931
3/8/2001,0.9312,110.6855
3/9/2001,0.9357,110.6261
3/12/2001,0.9272,110.4714
3/13/2001,0.9202,111.2116
3/14/2001,0.9182,111.3319
3/15/2001,0.9064,111.2338
3/16/2001,0.8947,110.9385
3/19/2001,0.8996,111.2006
3/20/2001,0.902,111.4895
3/21/2001,0.899,111.8615
3/22/2001,0.8889,111.5451
3/23/2001,0.8922,111.2033
3/26/2001,0.8935,110.8753
3/27/2001,0.8952,111.2002
3/28/2001,0.886,111.3399
3/29/2001,0.884,111.4168
3/30/2001,0.8832,111.6695
4/2/2001,0.8772,111.0466
4/3/2001,0.8845,110.5082
4/4/2001,0.9032,110.2797
4/5/2001,0.902,110.8739
4/6/2001,0.894,110.6791
4/9/2001,0.9018,110.2121
4/10/2001,0.8945,110.2791
4/11/2001,0.884,110.1663
4/12/2001,0.8849,110.446
4/17/2001,0.8791,110.3535
4/18/2001,0.8778,110.1493
