Date,JPY
10/17/2000,91.73
10/18/2000,92.27
10/19/2000,90.93
10/20/2000,92.06
10/23/2000,91
10/24/2000,90.76
10/25/2000,89.8
10/26/2000,89.3
10/27/2000,90.53
10/30/2000,92.21
10/31/2000,91.88
11/1/2000,92.83
11/2/2000,93.63
11/3/2000,93.63
11/6/2000,92.86
11/7/2000,92.13
11/8/2000,92.22
11/9/2000,91.55
11/10/2000,93.42
11/13/2000,92.82
11/14/2000,92.6
11/15/2000,93.22
11/16/2000,93.29
11/17/2000,92.95
11/20/2000,92.7
11/21/2000,93.28
11/22/2000,92.46
11/23/2000,92.9
11/24/2000,93.78
11/27/2000,93.44
11/28/2000,94.54
11/29/2000,95.01
11/30/2000,96.44
12/1/2000,97.75
12/4/2000,98.6
12/5/2000,97.52
12/6/2000,97.76
12/7/2000,98.9
12/8/2000,98.75
12/11/2000,97.53
12/12/2000,97.89
12/13/2000,98.4
12/14/2000,99.55
12/15/2000,100.93
12/18/2000,100.54
12/19/2000,99.96
12/20/2000,102.05
12/21/2000,102.37
12/22/2000,103.78
12/27/2000,106.08
12/28/2000,106.4
12/29/2000,106.92
1/2/2001,108.26
1/3/2001,108.88
1/4/2001,108.25
1/5/2001,111.22
1/8/2001,110.55
1/9/2001,108.78
1/10/2001,109.33
1/11/2001,111.75
1/12/2001,112.35
1/15/2001,111.92
1/16/2001,111.27
1/17/2001,110.6
1/18/2001,111.28
1/19/2001,110.66
1/22/2001,108.28
1/23/2001,110.22
1/24/2001,109.79
1/25/2001,107.15
1/26/2001,107.69
1/29/2001,107.15
1/30/2001,107.38
1/31/2001,107.87
2/1/2001,108.7
2/2/2001,108.43
2/5/2001,108.78
2/6/2001,107.05
2/7/2001,108.36
2/8/2001,106.97
2/9/2001,108.3
2/12/2001,109.22
2/13/2001,108.59
2/14/2001,106.61
2/15/2001,105.51
2/16/2001,104.88
2/19/2001,106.71
2/20/2001,104.86
2/21/2001,106.69
2/22/2001,105.33
2/23/2001,105.7
2/26/2001,106.07
2/27/2001,106.41
2/28/2001,108.45
3/1/2001,108.72
3/2/2001,111.55
3/5/2001,111.14
3/6/2001,109.89
3/7/2001,111.38
3/8/2001,111.38
3/9/2001,111.71
3/12/2001,111.44
3/13/2001,110.27
3/14/2001,110.06
3/15/2001,110.53
3/16/2001,109.85
3/19/2001,109.83
3/20/2001,110.64
3/21/2001,111.25
3/22/2001,110.25
3/23/2001,109.69
3/26/2001,110.08
3/27/2001,110.16
3/28/2001,107.81
3/29/2001,108.96
3/30/2001,110.74
4/2/2001,110.83
4/3/2001,111.36
4/4/2001,113.52
4/5/2001,112.04
4/6/2001,111.38
4/9/2001,112.8
4/10/2001,111.34
4/11/2001,109.8
4/12/2001,109
4/17/2001,108.75
4/18/2001,107.82
4/19/2001,107.49
4/20/2001,110.18
4/23/2001,109.71
4/24/2001,109.14
4/25/2001,109.55
4/26/2001,110.36
4/27/2001,112.01
4/30/2001,109.67
5/2/2001,108.81
5/3/2001,108.24
5/4/2001,108.19
5/7/2001,108.2
5/8/2001,108.21
5/9/2001,107.5
5/10/2001,108.17
5/11/2001,107.35
5/14/2001,107.62
5/15/2001,108.35
5/16/2001,109.26
5/17/2001,108.58
5/18/2001,108.35
5/21/2001,107.79
5/22/2001,106.96
5/23/2001,104.01
5/24/2001,103.15
5/25/2001,103.54
5/28/2001,103.98
5/29/2001,102.88
5/30/2001,102.77
5/31/2001,101
6/1/2001,100.62
6/4/2001,101.9
6/5/2001,101.44
6/6/2001,103.13
6/7/2001,101.7
6/8/2001,102.14
6/11/2001,103.39
6/12/2001,103.16
6/13/2001,104.28
6/14/2001,103.52
6/15/2001,104.74
6/18/2001,105.71
6/19/2001,105.43
6/20/2001,105
6/21/2001,106.12
6/22/2001,105.98
6/25/2001,106.71
6/26/2001,106.71
6/27/2001,107.05
6/28/2001,106.15
6/29/2001,105.37
7/2/2001,105.16
7/3/2001,105.43
7/4/2001,105.16
7/5/2001,105.74
7/6/2001,105.65
7/9/2001,106.19
7/10/2001,107.28
7/11/2001,107.21
7/12/2001,106.16
7/13/2001,106.12
7/16/2001,107.45
7/17/2001,106.65
7/18/2001,107.8
7/19/2001,107.7
7/20/2001,108.36
7/23/2001,107.62
7/24/2001,108.07
7/25/2001,108.9
7/26/2001,108.58
7/27/2001,108.65
7/30/2001,109.45
7/31/2001,109.3
8/1/2001,109.85
8/2/2001,109.02
8/3/2001,109.05
8/6/2001,109.08
8/7/2001,108.74
8/8/2001,107.94
8/9/2001,109.16
8/10/2001,109.31
8/13/2001,109.33
8/14/2001,110.04
8/15/2001,109.62
8/16/2001,109.66
8/17/2001,110.34
8/20/2001,110.18
8/21/2001,109.4
8/22/2001,110.39
8/23/2001,109.65
8/24/2001,109.56
8/27/2001,109.18
8/28/2001,108.75
8/29/2001,108.94
8/30/2001,108.95
8/31/2001,108.65
9/3/2001,107.92
9/4/2001,107.1
9/5/2001,106.93
9/6/2001,107.36
9/7/2001,108.32
9/10/2001,109.05
9/11/2001,109.3
9/12/2001,108.15
9/13/2001,107.88
9/14/2001,108.33
9/17/2001,108.61
9/18/2001,108.5
9/19/2001,108.84
9/20/2001,108.15
9/21/2001,107.18
9/24/2001,107.47
9/25/2001,107.53
9/26/2001,108.62
9/27/2001,109.75
