Date,MXN,NEER
5/13/2009,18.1731,107.8661
5/14/2009,18.0502,107.1194
5/15/2009,17.9411,107.951
5/18/2009,17.8339,107.9341
5/19/2009,17.5799,108.1448
5/20/2009,17.6943,107.9848
5/21/2009,17.9932,107.6862
5/22/2009,18.3767,107.6305
5/25/2009,18.4372,108.1944
5/26/2009,18.3412,108.0475
5/27/2009,18.3082,107.8539
5/28/2009,18.3176,107.8111
5/29/2009,18.434,107.6619
6/1/2009,18.6033,107.3334
6/2/2009,18.8725,107.682
6/3/2009,18.7632,106.6172
6/4/2009,18.838,107.0878
6/5/2009,18.7066,107.5312
6/8/2009,18.5345,106.7148
6/9/2009,18.6965,107.4357
6/10/2009,19.1153,107.0806
6/11/2009,19.0474,107.0221
6/12/2009,18.7584,107.1847
6/15/2009,18.6982,106.2388
6/16/2009,18.5015,105.7708
6/17/2009,18.6785,106.4614
6/18/2009,18.6946,106.63
6/19/2009,18.5714,107.1505
6/22/2009,18.6446,107.054
6/23/2009,18.5385,106.5011
6/24/2009,18.6351,105.669
6/25/2009,18.4593,105.4661
6/26/2009,18.5461,106.4409
6/29/2009,18.5321,106.1404
6/30/2009,18.5537,106.6957
7/1/2009,18.5228,106.8028
7/2/2009,18.4393,107.745
7/3/2009,18.5339,107.8418
7/6/2009,18.549,108.4343
7/7/2009,18.51,107.6486
7/8/2009,18.701,108.5143
7/9/2009,18.8424,109.1546
7/10/2009,19.0303,109.2986
7/13/2009,19.1576,109.5312
7/14/2009,19.1327,109.5422
7/15/2009,19.2836,109.2993
7/16/2009,19.1829,108.9572
7/17/2009,19.1765,109.1141
7/20/2009,18.7878,108.8884
7/21/2009,18.8597,108.7293
7/22/2009,18.8286,109.0151
7/23/2009,18.7681,108.71
7/24/2009,18.7555,108.2856
7/27/2009,18.7709,108.5614
7/28/2009,18.8641,108.351
7/29/2009,18.716,108.0124
7/30/2009,18.6483,108.5613
7/31/2009,18.6678,108.5194
8/3/2009,18.7627,109.019
8/4/2009,18.9279,109.3247
8/5/2009,18.9082,108.289
8/6/2009,18.711,107.2235
8/7/2009,18.7072,105.8325
8/10/2009,18.3135,106.4574
8/11/2009,18.3946,106.4068
8/12/2009,18.52,106.3527
8/13/2009,18.3544,105.8484
8/14/2009,18.3544,103.7083
8/17/2009,18.3075,104.9847
8/18/2009,18.2467,104.3164
8/19/2009,18.3202,104.8443
8/20/2009,18.2733,104.7154
8/21/2009,18.3954,103.5311
8/24/2009,18.3342,103.1411
8/25/2009,18.4851,103.2675
8/26/2009,18.5867,102.8588
8/27/2009,18.753,103.1439
8/28/2009,19.0179,103.0501
8/31/2009,19.0246,104.4099
9/1/2009,19.2344,103.9905
9/2/2009,19.3961,104.3401
9/3/2009,19.412,105.3082
9/4/2009,19.3072,105.728
9/7/2009,19.1843,105.1811
9/8/2009,19.2419,105.6537
9/9/2009,19.3687,106.0793
9/10/2009,19.6176,105.4427
9/11/2009,19.5779,104.8125
9/14/2009,19.5333,103.9676
9/15/2009,19.4908,104.1277
9/16/2009,19.4084,104.5395
9/17/2009,19.4178,105.1712
9/18/2009,19.4944,105.6607
9/21/2009,19.5318,105.5827
9/22/2009,19.65,105.0496
9/23/2009,19.7856,105.0372
9/24/2009,19.7197,105.2108
9/25/2009,19.7957,105.8197
9/28/2009,19.891,105.4178
9/29/2009,19.7575,105.7074
9/30/2009,19.7454,105.3295
10/1/2009,19.7207,105.4009
10/2/2009,20.0138,105.5421
10/5/2009,19.8997,106.0079
10/6/2009,19.938,105.9506
10/7/2009,19.8597,105.5757
10/8/2009,19.6651,105.4258
10/9/2009,19.5592,105.871
10/12/2009,19.478,106.3061
10/13/2009,19.591,106.2806
10/14/2009,19.4495,106.2202
10/15/2009,19.4889,106.1349
10/16/2009,19.5379,105.7299
10/19/2009,19.4978,106.2056
10/20/2009,19.2153,106.2489
10/21/2009,19.457,106.7588
10/22/2009,19.4295,107.7247
10/23/2009,19.3758,107.1511
10/26/2009,19.5758,107.917
10/27/2009,19.7147,108.1692
10/28/2009,19.5813,108.4169
10/29/2009,19.5135,107.9611
10/30/2009,19.3214,107.8305
11/2/2009,19.4961,108.2868
11/3/2009,19.5259,108.3607
11/4/2009,19.5509,108.1166
11/5/2009,19.7434,108.4742
11/6/2009,19.7888,109.0856
11/9/2009,20.0628,109.6931
11/10/2009,19.9557,110.1564
11/11/2009,19.7323,110.0528
11/12/2009,19.6791,110.3039
11/13/2009,19.5859,109.8411
11/16/2009,19.4395,110.4124
11/17/2009,19.3583,110.7623
11/18/2009,19.3947,111.6029
11/19/2009,19.4319,111.1986
11/20/2009,19.3928,111.2079
11/23/2009,19.4691,112.3942
11/24/2009,19.3232,111.8812
11/25/2009,19.3952,110.7389
11/26/2009,19.42,110.0631
11/27/2009,19.3606,110.737
11/30/2009,19.3984,111.1953
12/1/2009,19.4078,111.9334
12/2/2009,19.3303,111.2196
12/3/2009,19.1502,111.6105
12/4/2009,18.9382,111.619
12/7/2009,18.7795,111.2212
12/8/2009,18.8465,111.4589
12/9/2009,19.0876,111.5013
12/10/2009,19.0312,112.6421
12/11/2009,19.0144,112.231
12/14/2009,18.8668,111.9888
12/15/2009,18.6052,112.2618
12/16/2009,18.4548,112.5946
12/17/2009,18.3985,113.2467
12/18/2009,18.5217,112.5255
12/21/2009,18.385,115.11
12/22/2009,18.4699,115.2131
12/23/2009,18.3732,116.2003
12/24/2009,18.553,114.8871
12/28/2009,18.4989,114.4066
12/29/2009,18.8058,114.2086
12/30/2009,18.6896,114.3347
12/31/2009,18.9223,113.8674
1/4/2010,18.6664,113.2263
1/5/2010,18.4833,113.0204
1/6/2010,18.3752,113.5389
1/7/2010,18.2993,113.3176
1/8/2010,18.1966,113.9092
1/11/2010,18.3538,113.811
1/12/2010,18.4995,114.2464
1/13/2010,18.5678,114.9936
1/14/2010,18.4841,113.9629
1/15/2010,18.279,115.0604
1/18/2010,18.2228,113.9073
1/19/2010,18.1607,114.5136
1/20/2010,17.936,115.1065
1/21/2010,17.876,114.5804
1/22/2010,18.3585,114.6303
1/25/2010,18.2545,114.7012
1/26/2010,18.1882,114.8405
1/27/2010,18.1304,114.7113
1/28/2010,18.1179,114.9527
1/29/2010,18.1907,114.7187
2/1/2010,18.1398,114.7514
2/2/2010,17.9543,115.3142
2/3/2010,18.0114,115.2148
2/4/2010,17.97,114.6611
2/5/2010,18.0367,114.2981
2/8/2010,18.013,114.5852
2/9/2010,18.0645,112.6354
2/10/2010,17.9438,111.8853
2/11/2010,17.9363,112.2847
2/12/2010,17.6572,111.6938
2/15/2010,17.5857,113.3689
2/16/2010,17.614,114.0531
2/17/2010,17.6029,112.7171
2/18/2010,17.4548,113.4962
2/19/2010,17.399,114.0848
2/22/2010,17.3766,114.4762
2/23/2010,17.4186,113.5532
2/24/2010,17.4655,113.7429
2/25/2010,17.299,112.7679
2/26/2010,17.3642,114.285
3/1/2010,17.2478,113.1807
3/2/2010,17.21,113.1127
3/3/2010,17.3653,112.7997
3/4/2010,17.3595,113.3788
3/5/2010,17.2152,113.2986
3/8/2010,17.2346,113.5844
3/9/2010,17.2072,114.2684
3/10/2010,17.1705,114.1727
3/11/2010,17.1955,113.6939
3/12/2010,17.2641,113.6218
3/15/2010,17.2053,113.7463
3/16/2010,17.1894,113.6362
3/17/2010,17.1792,113.1524
3/18/2010,17.0286,112.7765
3/19/2010,16.9574,113.12
3/22/2010,17.0644,113.4214
3/23/2010,16.9224,113.3903
3/24/2010,16.7078,113.0384
3/25/2010,16.7264,113.3068
3/26/2010,16.7447,113.3217
3/29/2010,16.7633,112.853
3/30/2010,16.7339,112.9119
3/31/2010,16.6573,111.9897
4/1/2010,16.6195,112.4842
4/6/2010,16.416,112.427
4/7/2010,16.3415,111.8255
4/8/2010,16.3839,111.4609
4/9/2010,16.3178,110.4525
4/12/2010,16.5968,108.6553
4/13/2010,16.559,109.3791
4/14/2010,16.54,108.7224
4/15/2010,16.5712,108.1804
4/16/2010,16.4924,108.9955
4/19/2010,16.549,108.3538
4/20/2010,16.4647,109.6812
4/21/2010,16.3311,109.0935
4/22/2010,16.2904,108.7668
4/23/2010,16.2215,107.9235
4/26/2010,16.173,108.8494
4/27/2010,16.2064,108.808
4/28/2010,16.3284,108.8978
4/29/2010,16.2651,108.4503
4/30/2010,16.246,108.9482
5/3/2010,16.2669,107.7834
5/4/2010,16.1756,108.2541
5/5/2010,16.2789,109.7287
5/6/2010,16.2397,110.5385
5/7/2010,16.4689,110.7728
5/10/2010,16.208,111.8398
5/11/2010,15.9449,112.9173
5/12/2010,15.7655,112.2618
5/13/2010,15.5324,112.7539
5/14/2010,15.578,112.6985
5/17/2010,15.6557,113.1505
5/18/2010,15.5704,113.0994
5/19/2010,15.7547,112.655
5/20/2010,16.1134,112.1003
5/21/2010,16.3787,112.3553
5/24/2010,16.0745,111.7256
5/25/2010,16.2297,112.3837
5/26/2010,15.9235,111.6093
5/27/2010,15.8347,112.568
5/28/2010,15.8205,112.956
5/31/2010,15.8822,112.3238
6/1/2010,15.7893,112.5951
6/2/2010,15.7618,112.2576
6/3/2010,15.6245,112.3946
6/4/2010,15.4645,112.5069
6/7/2010,15.4749,113.1676
6/8/2010,15.4171,112.6933
6/9/2010,15.4208,113.258
6/10/2010,15.4266,113.5109
6/11/2010,15.3922,113.5245
6/14/2010,15.4013,113.7597
6/15/2010,15.5142,113.6208
6/16/2010,15.5151,113.0066
6/17/2010,15.5187,112.0587
6/18/2010,15.5454,112.0543
6/21/2010,15.45,111.5814
6/22/2010,15.396,112.4135
6/23/2010,15.4432,112.7152
6/24/2010,15.5899,112.8379
6/25/2010,15.6183,112.4444
6/28/2010,15.6027,112.5478
6/29/2010,15.6591,112.9825
6/30/2010,15.7363,113.1179
7/1/2010,15.9586,113.5944
7/2/2010,16.3877,113.6708
7/5/2010,16.4492,114.0595
7/6/2010,16.3433,113.5783
7/7/2010,16.3773,114.2096
7/8/2010,16.2652,114.4051
7/9/2010,16.1465,113.1628
7/12/2010,16.0557,112.9798
7/13/2010,16.0698,114.8283
7/14/2010,16.1416,114.1673
7/15/2010,16.2402,114.2668
7/16/2010,16.6634,113.6801
7/19/2010,16.7113,114.4231
7/20/2010,16.6346,114.242
7/21/2010,16.3218,113.7387
7/22/2010,16.4462,114.0876
7/23/2010,16.4346,113.3303
7/26/2010,16.4516,113.2299
7/27/2010,16.4437,112.4117
7/28/2010,16.4628,113.6117
7/29/2010,16.5578,113.3553
7/30/2010,16.574,113.5324
8/2/2010,16.4432,114.2243
8/3/2010,16.6452,115.0887
8/4/2010,16.6274,114.6072
8/5/2010,16.4735,114.5928
8/6/2010,16.5854,114.7738
8/9/2010,16.809,114.9027
8/10/2010,16.664,114.604
8/11/2010,16.536,114.4375
8/12/2010,16.3596,113.6861
8/13/2010,16.3059,114.6889
8/16/2010,16.297,114.7321
